Artikeltyp;ExternalKey;Artikelname;ParentExternalKey
Einzelartikel;Direktversand_Trockenprodukte_OelEssig_0_Essig;;
Einzelartikel;1021416;Apfel- und Birnenessig;
Einzelartikel;1020574;Essig;
Einzelartikel;1021866;Essiggurken;
Einzelartikel;Direktversand_Trockenprodukte_Grundnahrungsmittel_0_Esskastanien;;
Einzelartikel;1018965;Esskastanien;
Einzelartikel;1000972;Esskastanien;
Einzelartikel;1019196;Estate / Nathalie Du Pasquier;
Einzelartikel;1021489;;
Einzelartikel;1019049;Exotische Fruchtmischung;
Einzelartikel;1000274;Exotische Fruchtmischung;
Einzelartikel;1000938;Exotische Fruchtmischung;
Einzelartikel;1017268;Olivenöl;
Einzelartikel;1017116;Olivenöl;
Einzelartikel;1015031;Olivenöl;
Einzelartikel;1015735;Olivenöl;
Einzelartikel;1017986;Olivenöl;
Einzelartikel;1017985;Olivenöl Ernte 2022/23;
Einzelartikel;1022016;Olivenöl Extra Vergine;
Einzelartikel;1015538;Olivenöl;
Einzelartikel;1006779;Olivenöl;
Einzelartikel;1020125;Extrahartkäse aus Feutersoey;
Einzelartikel;1021851;Schokoladen-Cashews;
Einzelartikel;1022189;Schokoladen-Cashews;
Einzelartikel;1019931;fairafric Zartbitter;
Einzelartikel;1020346;fairafric Zartbitter;
Einzelartikel;1020345;fairafric Zartbitter;
Einzelartikel;Direktversand_Trockenprodukte_Trockenfruechte_0_Feigen;;
Einzelartikel;1020563;Fendant Les Bans, Domaine Gérald Besse;
Einzelartikel;Direktversand_Frischprodukte_FischMeeresfruechte;;
Einzelartikel;Direktversand_Frischprodukte_Fleisch;;
Einzelartikel;1018494;Fleischpaket;
Einzelartikel;1021531;Flocken- und Kernotto-Paket;
Einzelartikel;1001760;Flockenmischung;
Einzelartikel;1019987;Flockenmischung;
Einzelartikel;1019153;Flowerer / Uwe Henneken;
Einzelartikel;1022215;Fondue moitié-moitié aus Echarlens;
Einzelartikel;1020696;Fonduemischung;
Einzelartikel;Direktversand_Trockenprodukte_Grundnahrungsmittel_Getreide_Fonio;;
Einzelartikel;1021964;Fonio;
Einzelartikel;1021939;Fonio;
Einzelartikel;1021677;Fonio;
Einzelartikel;1019997;Fonio;
Einzelartikel;1020029;Fonio 3kg;
Einzelartikel;1020123;Fonio;
Einzelartikel;1020124;Fonio;
Einzelartikel;1020732;Fonio;
Einzelartikel;1020665;Ananas;
Einzelartikel;1020671;Ananas;
Einzelartikel;1020669;Ananas;
Einzelartikel;1020673;Ananas;
Einzelartikel;1020667;Ananas;
Einzelartikel;1019792;Ananas;
Einzelartikel;1019791;Ananas;
Einzelartikel;1020664;Ananas;
Einzelartikel;1020670;Ananas;
Einzelartikel;1020668;Ananas;
Einzelartikel;1020672;Ananas;
Einzelartikel;1020666;Ananas;
Einzelartikel;1020028;Ananas;
Einzelartikel;1021814;;
Einzelartikel;1021813;Ananas;
Einzelartikel;1021348;Ananas;
Einzelartikel;1021354;Ananas;
Einzelartikel;1013130;Artischocken;
Einzelartikel;1006778;Artischocken;
Einzelartikel;1021753;Artischocken;
Einzelartikel;1021755;Artischocken;
Einzelartikel;1021899;Artischocken Agkinara Irion;
Einzelartikel;1022290;Artischocken Tema;
Einzelartikel;1020627;Avocados;
Einzelartikel;1020626;Avocados;
Einzelartikel;1021289;Avocados;
Einzelartikel;1021280;Avocados;
Einzelartikel;1021281;Avocados;
Einzelartikel;1022203;;
Einzelartikel;1021895;Avocados Fuerte;
Einzelartikel;1022201;;
Einzelartikel;1022230;Rote Bananen und Babybananen;
Einzelartikel;1021873;Rote Bananen und Babybananen;
Einzelartikel;1022231;Rote Bananen und Babybananen;
Einzelartikel;1021892;Rote Bananen und Babybananen;
Einzelartikel;1021841;Blutorangen;
