TYPE;NAVIGATIONPATH;EXTERNALKEY;Artikelname (KOM --> Übersetzung);Produkttext Shop (KOM --> Übersetzung);Anbau - übersetzen (KOM);Einkauf & Logistik - übersetzen (KOM);Produzierende - übersetzen (KOM);Verarbeitung - übersetzen (KOM);Nachhaltigkeit & Transparenz (KOM);Verwendung & Zubereitung (KOM --> Übersetzung);Aufbewahrung & Haltbarkeit (KOM --> Übersetzung);Herkunft (KOM);Category ID Shopware (Kategorien)
Artikel;Direktversand > Trockenprodukte > Nüsse > Nüsse - weitere;1021687;Paranüsse;Diese Paranüsse stammen aus dem Amazonasregenwald in der Region Mato Grosso. Hier vereint die Kooperative Coopavam vier indigene Stämme sowie Bauernfamilien aus acht Siedlungen am Rand des Waldes. Die Nüsse werden vor Ort verarbeitet. Die Kooperative schafft so lokal Einkommen, wirkt der Entwaldung entgegen und fördert nachhaltige Entwicklung. Mindestens haltbar bis 18.06.2026;Bio, keine Bewässerung, Wildsammlung, von Hand geerntet.;Einkauf direkt bei Kooperative, seit 2020. Transport: LKW nach Santos, Schiff nach Rotterdam. LKW nach Embrach/Singen.;Von 183 Bauernfamilien und Sammler:innen wild im Amazonasregenwald in der Region Mato Grasso gesammelt.;Vollständig vor Ort verarbeitet und verpackt, 85 % der Mitarbeitenden sind Frauen, 100 % des Managements sind Frauen.;;;Bewahren Sie Nüsse und Kerne kühl und dunkel in einem fest verschlossenen Gefäss auf. Achten Sie darauf, dass dieses möglichst luftdicht ist, damit keine Feuchtigkeit an die Nüsse gelangt. Um die Haltbarkeit um einige Monate zu verlängern, können Sie Nüsse und Kerne auch einfrieren.;Brasilien;Nüsse & Kerne, Paranüsse
Artikel;Direktversand > Trockenprodukte > Nüsse > Nüsse - weitere;1020578;Paranüsse;Diese Paranüsse stammen aus dem Amazonasregenwald in der Region Mato Grosso. Hier vereint die Kooperative Coopavam vier indigene Stämme sowie Bauernfamilien aus acht Siedlungen am Rand des Waldes. Die Nüsse werden vor Ort verarbeitet. Die Kooperative schafft so lokal Einkommen, wirkt der Entwaldung entgegen und fördert nachhaltige Entwicklung.;Bio, keine Bewässerung, Wildsammlung, von Hand geerntet.;Einkauf direkt bei Kooperative, seit 2020. Transport: LKW nach Santos, Schiff nach Rotterdam. LKW nach Embrach/Singen.;Von 183 Bauernfamilien und Sammler:innen wild im Amazonasregenwald in der Region Mato Grasso gesammelt.;Vollständig vor Ort verarbeitet und verpackt, 85 % der Mitarbeitenden sind Frauen, 100 % des Managements sind Frauen.;;;Bewahren Sie Nüsse und Kerne kühl und dunkel in einem fest verschlossenen Gefäss auf. Achten Sie darauf, dass dieses möglichst luftdicht ist, damit keine Feuchtigkeit an die Nüsse gelangt. Um die Haltbarkeit um einige Monate zu verlängern, können Sie Nüsse und Kerne auch einfrieren.;Brasilien;Nüsse & Kerne, Paranüsse
Produkt;Direktversand > Trockenprodukte > Grundnahrungsmittel > Teigwaren;Direktversand_Trockenprodukte_Grundnahrungsmittel_Teigwaren_PastaGranAlpin;;;;;;;;;;;
Produkt;Direktversand > Trockenprodukte > Grundnahrungsmittel > Teigwaren;Direktversand_Trockenprodukte_Grundnahrungsmittel_Teigwaren_PastaLiberaTerra;;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Grundnahrungsmittel > Grundnahrungsmittel - weitere;1020550;Fusilli Rustici;Fusilli aus Schweizer Urdinkel. Familie Böhler aus Mellikon baut das Getreide biodynamisch an. Die Kernser Manufaktur im Kanton Obwalden verarbeitet es anschliessend zu spiralförmiger Pasta.;;;;;;;;Schweiz;Pasta, Vorrat
Artikel;Direktversand > Trockenprodukte > Nüsse > Nüsse - weitere;1003913;Pekannüsse;Pekannüsse sehen Walnüssen sehr ähnlich und bewegen sich auch geschmacklich nah an ihren Verwandten, sind aber milder und fast schon süss. Diese Pekannüsse kommen vom Familienbetrieb Topará, der in der Nähe der Kleinstadt Chincha an der Westküste Perus liegt. Im Betrieb arbeiten 40 Menschen. Während der Erntezeit kommen etwa 50 Saisonarbeitskräfte dazu.;Bio, keine Bewässerung, von Hand geerntet.;Einkauf bei Importeur, seit 2014. Transport: LKW vom Produzent zum Hafen in Callao, Schiff nach Hamburg, LKW nach Legau, LKW nach Embrach/Singen.;Von 1 Bauernfamilie auf 50 ha im Valle de Topará in der Region Ica-Chincha in Peru angebaut.;Von Hand sortiert. 100 % der Mitarbeitenden haben Arbeitsverträge, Lohn entspricht Mindestlohn oder besser, kostenlose Arztbesuche und Unterkünfte für Mitarbeitende.;Von 1 Bauernfamilie auf 50 ha im Valle de Topará in der Region Ica-Chincha in Peru angebaut Bio, von Hand geerntet und sortiert, Transport: LKW nach Callao, Schiff nach Hamburg, 100 % der Mitarbeitenden haben Arbeitsverträge, Lohn entspricht Mindestlohn oder besser, kostenlose Arztbesuche und Unterkünfte für Mitarbeitende Einkauf bei Exporteur, seit 2014;;Bewahren Sie Nüsse und Kerne kühl und dunkel in einem fest verschlossenen Gefäss auf. Achten Sie darauf, dass dieses möglichst luftdicht ist, damit keine Feuchtigkeit an die Nüsse gelangt. Um die Haltbarkeit um einige Monate zu verlängern, können Sie Nüsse und Kerne auch einfrieren.;Peru;Nüsse & Kerne, Walnüsse & Pekannüsse
Artikel;Direktversand > Trockenprodukte > Nüsse > Nüsse - weitere;1006293;Pekannüsse;Diese Bio-Pekannüsse schmecken ähnlich wie Walnüsse, sind aber weicher und deutlich weniger herb. Im Abgang entwickeln sie eine leichte Süsse. Mindestens haltbar bis 30.04.2026;;;;;;;Bewahren Sie Nüsse und Kerne kühl und dunkel in einem fest verschlossenen Gefäss auf. Achten Sie darauf, dass dieses möglichst luftdicht ist, damit keine Feuchtigkeit an die Nüsse gelangt. Um die Haltbarkeit um einige Monate zu verlängern, können Sie Nüsse und Kerne auch einfrieren.;Südafrika;Nüsse & Kerne, Walnüsse & Pekannüsse
Artikel;Direktversand > Trockenprodukte > Nüsse > Nüsse - weitere;1021968;Pekannüsse;Diese Bio-Pekannüsse schmecken ähnlich wie Walnüsse, sind aber weicher und deutlich weniger herb. Im Abgang entwickeln sie eine leichte Süsse.;;;;;;;Bewahren Sie Nüsse und Kerne kühl und dunkel in einem fest verschlossenen Gefäss auf. Achten Sie darauf, dass dieses möglichst luftdicht ist, damit keine Feuchtigkeit an die Nüsse gelangt. Um die Haltbarkeit um einige Monate zu verlängern, können Sie Nüsse und Kerne auch einfrieren.;Südafrika;Nüsse & Kerne, Walnüsse & Pekannüsse
Produkt;Direktversand > Frischprodukte > Gemüse;Direktversand_Frischprodukte_Gemuese_0_Peperonifrisch;;;;;;;;;;;
Produkt;Direktversand > Frischprodukte > Früchte;Direktversand_Frischprodukte_Fruechte_0_Persimonenfrisch;;;;;;;;;;;
Produkt;Direktversand > Trockenprodukte > Gewürze;Direktversand_Trockenprodukte_Gewuerze_0_Pfeffer;;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Gewürze > Pfeffer;1000389;Schwarze Pfefferkörner;Frisch gemahlen schmeckt Pfeffer am besten. Deshalb verkaufen wir ganze Körner zum Selbermahlen.;;;;;;;Bewahren Sie die Körner an einem dunklen, kühlen Ort auf und schützen Sie den Pfeffer vor Licht und Feuchtigkeit. Ideal dafür sind Keramik- oder Metallbehälter. Nicht über dem Kochherd aufbewahren, da Dampf und Hitze dem Aroma der Körner schaden.;Sri Lanka;Gewürze, Vorrat
Artikel;Direktversand > Trockenprodukte > Trockenfrüchte > Trockenfrüchte - weitere;1001881;Pflaumen;Diese getrockneten Pflaumen kommen aus den Regionen Afyon, Konya und Isparta in der Türkei. Die sonnengetrockneten Früchte gehören zur Sorte Stanley und damit zu den Zwetschgen, die eine Unterart der Pflaumen sind. Sie sind relativ fest im Biss, haben wenig Restfeuchte und schmecken würzig-süss mit einer sanft eingebetteten Säure. Kein Schwefel und kein Zuckerzusatz. Mindestens haltbar bis 20.01.2026;;;;;;;In einem fest verschlossenen Gefäss und vor Licht geschützt, lassen sich Trockenfrüchte bei Zimmertemperatur auch weit über das Mindesthaltbarkeitsdatum aufbewahren. Nach einigen Monaten werden sie lediglich etwas härter. Zur Weiterverarbeitung können Sie hart gewordene Früchte für einige Minuten in einem heissen Wasserbad aufweichen.;Türkei;Pflaumen, Trockenfrüchte
Artikel;Direktversand > Archiv > Archiv-Trockenprodukte > ZZ-Archiv-Trockenprodukte;1006951;Pflaumen;Diese getrockneten Pflaumen kommen aus den Regionen Afyon, Konya und Isparta in der Türkei. Die Früchte gehören zur Sorte Stanley und damit zu den Zwetschgen, die eine Unterart der Pflaumen sind. Kein Schwefel und kein Zuckerzusatz.;;;;;;;In einem fest verschlossenen Gefäss und vor Licht geschützt, lassen sich Trockenfrüchte bei Zimmertemperatur auch weit über das Mindesthaltbarkeitsdatum aufbewahren. Nach einigen Monaten werden sie lediglich etwas härter. Zur Weiterverarbeitung können Sie hart gewordene Früchte für einige Minuten in einem heissen Wasserbad aufweichen.;Türkei;Pflaumen, Trockenfrüchte
Artikel;Direktversand > Trockenprodukte > Trockenfrüchte > Trockenfrüchte - weitere;1005392;Pflaumen;Diese getrockneten Pflaumen kommen aus den Regionen Afyon, Konya und Isparta in der Türkei. Die sonnengetrockneten Früchte gehören zur Sorte Stanley und damit zu den Zwetschgen, die eine Unterart der Pflaumen sind. Sie sind relativ fest im Biss, haben wenig Restfeuchte und schmecken würzig-süss mit einer sanft eingebetteten Säure. Kein Schwefel und kein Zuckerzusatz.;;;;;;;In einem fest verschlossenen Gefäss und vor Licht geschützt, lassen sich Trockenfrüchte bei Zimmertemperatur auch weit über das Mindesthaltbarkeitsdatum aufbewahren. Nach einigen Monaten werden sie lediglich etwas härter. Zur Weiterverarbeitung können Sie hart gewordene Früchte für einige Minuten in einem heissen Wasserbad aufweichen.;Türkei;Pflaumen, Trockenfrüchte
Artikel;Direktversand > Trockenprodukte > Trockenfrüchte > Trockenfrüchte - weitere;1000767;Physalis;Unsere getrockneten Physalis stammen von mehreren Kooperativen aus den Anden Perus und sind weder mit Schwefel behandelt noch mit Zucker versetzt. Dei Früchte schmecken sauer wie eine Zitrone und gleichzeitig süss wie eine Orange. Sie eignen sich als Zutat für Müeslis, Granola, zum Backen und zum pur Geniessen.;;;;;;;In einem fest verschlossenen Gefäss und vor Licht geschützt, lassen sich Trockenfrüchte bei Zimmertemperatur auch weit über das Mindesthaltbarkeitsdatum aufbewahren. Nach einigen Monaten werden sie lediglich etwas härter. Zur Weiterverarbeitung können Sie hart gewordene Früchte für einige Minuten in einem heissen Wasserbad aufweichen.;Peru;Trockenfrüchte, Weitere Trockenfrüchte
Artikel;Direktversand > Trockenprodukte > Trockenfrüchte > Trockenfrüchte - weitere;1006515;Physalis;Unsere getrockneten Physalis stammen von mehreren Kooperativen aus den Anden Perus und sind weder mit Schwefel behandelt noch mit Zucker versetzt. Dei Früchte schmecken sauer wie eine Zitrone und gleichzeitig süss wie eine Orange. Sie eignen sich als Zutat für Müeslis, Granola, zum Backen und zum pur Geniessen. Mindestens haltbar bis 15.11.2023;;;;;;;In einem fest verschlossenen Gefäss und vor Licht geschützt, lassen sich Trockenfrüchte bei Zimmertemperatur auch weit über das Mindesthaltbarkeitsdatum aufbewahren. Nach einigen Monaten werden sie lediglich etwas härter. Zur Weiterverarbeitung können Sie hart gewordene Früchte für einige Minuten in einem heissen Wasserbad aufweichen.;Peru;Trockenfrüchte, Weitere Trockenfrüchte
Artikel;Direktversand > Trockenprodukte > Getränke > Wein > Rotwein;1020240;Piaz Merlot, Azienda Agricola Bianchi;Paket mit 6 Flaschen Piaz Merlot 2019 vom Weingut Bianchi aus dem Tessin. Einem vollmundigen, im Barrique gereiften Merlot, der Rotweinliebhaber begeistern wird. Die fünfeinhalb Hektar Rebfläche im Val Mara in Arogno werden seit jeher biologisch bewirtschaftet. In der Nase dunkelfruchtig mit Noten von Pflaume und Waldbeeren. Anklänge von Kakao und Karamell. Am Gaumen geschmeidig, mit eleganter Säure und feinem Tannin. Sie erhalten 6 Flaschen à 75 cl.;;;;;;;;Schweiz;Getränke, Wein & Cider
Artikel;Direktversand > Trockenprodukte > Trockenprodukte - weitere;1021433;Grosses Pilzpaket Bhutan Network (3x Pilze) - A2M;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Trockenprodukte - weitere;1021432;Mittleres Pilzpaket Bhutan Network (2x Pilze) - A2M;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Trockenprodukte - weitere;1021424;Kleines Pilzpaket Bhutan Network (1x Pilze) - A2M;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Nüsse > Nüsse - weitere;1022362;Pinienkerne;Pinienkerne aus der Toskana. Verwenden Sie sie als Zutat zum Backen, in Salaten oder für Pesto. In der Pfanne leicht angeröstet entfalten sie ihr volles Aroma.;;;;;;;Bewahren Sie Nüsse und Kerne kühl und dunkel in einem fest verschlossenen Gefäss auf. Achten Sie darauf, dass dieses möglichst luftdicht ist, damit keine Feuchtigkeit an die Nüsse gelangt. Um die Haltbarkeit um einige Monate zu verlängern, können Sie Nüsse und Kerne auch einfrieren.;Italien;Nüsse & Kerne, Weitere Nüsse & Kerne
Artikel;Direktversand > Trockenprodukte > Nüsse > Nüsse - weitere;1021710;Pinienkerne;Pinienkerne aus der Toskana. Verwenden Sie sie als Zutat zum Backen, in Salaten oder für Pesto. In der Pfanne leicht angeröstet entfalten sie ihr volles Aroma.;;;;;;;Bewahren Sie Nüsse und Kerne kühl und dunkel in einem fest verschlossenen Gefäss auf. Achten Sie darauf, dass dieses möglichst luftdicht ist, damit keine Feuchtigkeit an die Nüsse gelangt. Um die Haltbarkeit um einige Monate zu verlängern, können Sie Nüsse und Kerne auch einfrieren.;Italien;Nüsse & Kerne, Weitere Nüsse & Kerne
Artikel;Direktversand > Trockenprodukte > Nüsse > Nüsse - weitere;1022337;Pinienkerne;Pinienkerne aus der Toskana. Verwenden Sie sie als Zutat zum Backen, in Salaten oder für Pesto. In der Pfanne leicht angeröstet entfalten sie ihr volles Aroma. Mindestens haltbar bis 12.03.2026;;;;;;;Bewahren Sie Nüsse und Kerne kühl und dunkel in einem fest verschlossenen Gefäss auf. Achten Sie darauf, dass dieses möglichst luftdicht ist, damit keine Feuchtigkeit an die Nüsse gelangt. Um die Haltbarkeit um einige Monate zu verlängern, können Sie Nüsse und Kerne auch einfrieren.;Italien;Nüsse & Kerne, Weitere Nüsse & Kerne
Artikel;Direktversand > Trockenprodukte > Nüsse > Nüsse - weitere;1021274;Pinienkerne;Pinienkerne aus der Toskana. Verwenden Sie sie als Zutat zum Backen, in Salaten oder für Pesto. In der Pfanne leicht angeröstet entfalten sie ihr volles Aroma.;;;;;;;Bewahren Sie Nüsse und Kerne kühl und dunkel in einem fest verschlossenen Gefäss auf. Achten Sie darauf, dass dieses möglichst luftdicht ist, damit keine Feuchtigkeit an die Nüsse gelangt. Um die Haltbarkeit um einige Monate zu verlängern, können Sie Nüsse und Kerne auch einfrieren.;Italien;Nüsse & Kerne, Weitere Nüsse & Kerne
Artikel;Direktversand > Trockenprodukte > Getränke > Wein > Rotwein;1021283;Pinot Noir Classic AOC, Weinbau Pelizzatti;Ein frischer Herrschäftler, der von verschiedenen Lagen um Jenins stammt und an einen leichten Landwein erinnert. In der Nase buttrig und im Gaumen fruchtig und balanciert. Am besten schmeckt er gekühlt bei 15 bis 18 Grad. Annatina Pelizzatti und ihre Tochter Laura verbringen viel Zeit im Rebberg, um die Entwicklung der Trauben genau beobachten und rechtzeitig reagieren zu können. Dabei legen sie grossen Wert auf einen schonenden Umgang mit dem Boden, um die Bodenfruchtbarkeit zu fördern. Glasflaschen haben einen negativen Einfluss auf die Nachhaltigkeit eines Weines, da ihre Herstellung sehr ressourcenintensiv ist. Annatina und Laura liefern deshalb ihren Pinot Noir Classic erstmals in der Bag-in-Box-Verpackung. Diese reduziert die Umweltbelastung stark und hat keinerlei negative Einflüsse auf den Geschmack des Weines.;;;;;Bag-in-Box-Verpackungen sind nachhaltiger als Glasflaschen. Eine vom Bundesamt für Umwelt in Auftrag gegebene Studie von Carbotech zeigt, dass die Bag-in-Box-Verpackung rund 80 Prozent weniger Umweltbelastung verursacht als eine Einweg-Glasflasche. Dies liegt daran, dass die Herstellung von Glas sehr ressourcenintensiv ist. Einwegflaschen können nach Gebrauch zwar rezykliert werden, müssen dafür aber bei 1600 Grad Celsius eingeschmolzen werden. So fällt die Flaschenproduktion für Einwegflaschen neben der Traubenproduktion am stärksten ins Gewicht bei der CO2-Bilanz einer Flasche Wein. Ausserdem sind Glasflaschen schwer und sperrig. Für eine einzige Bag-in-Box-Verpackung à 3 Liter sind 4 Glasflaschen nötig. Wegen ihrer Form und dem hohen Gewicht von Flaschen lässt sich weniger Wein auf einmal transportieren, was zu höheren Emissionen beim Transport führt. Lesen Sie hier mehr zum Thema.;;Einmal geöffnet können Sie den Wein einen Monate lang aufbewahren. Wichtig ist, dass keine Luft in den Beutel gelangt.;Schweiz;Getränke, Wein & Cider
Artikel;Direktversand > Trockenprodukte > Getränke > Wein > Rotwein;1019085;Pinot Noir 2019, Weingut Stoll;Hier ist der Name Programm: Ein klassischer Blauburgunder aus der Region Schaffhausen. Fruchtiger Charakter, Noten von roten Beeren und Kirsche. Am Gaumen saftig, ausgewogen und elegant. Produziert aus biologisch angebauten Pinot-Noir-Trauben vom Weingut Stoll. Sie erhalten 6 Flaschen à 75 cl.;;;;;;;;Schweiz;Getränke, Wein & Cider
Produkt;Direktversand > Trockenprodukte > Nüsse;Direktversand_Trockenprodukte_Nuesse_0_Pistaziengeroestetgewuerzt;;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Nüsse > Pistazien geröstet/gewürzt;1021718;Pistazien;1 Kilo Pistazien, vor Ort in der Schale geröstet und gesalzen. Mindestens haltbar bis 18.06.2026;;;;;;;Bewahren Sie Nüsse und Kerne kühl und dunkel in einem fest verschlossenen Gefäss auf. Achten Sie darauf, dass dieses möglichst luftdicht ist, damit keine Feuchtigkeit an die Nüsse gelangt. Um die Haltbarkeit um einige Monate zu verlängern, können Sie Nüsse und Kerne auch einfrieren.;Türkei;Nüsse & Kerne, Pistazien, Salzige Snacks, Schokolade & Snacks
Artikel;Direktversand > Archiv > Archiv-Trockenprodukte > ZZ-Archiv-Trockenprodukte;1021791;Pistazien;;;;;;;;;Spanien;Nüsse & Kerne, Pistazien, Salzige Snacks, Schokolade & Snacks
Artikel;Direktversand > Trockenprodukte > Nüsse > Pistazien geröstet/gewürzt;1015833;Pistazien;1 Kilo Pistazien, vor Ort in der Schale geröstet und gesalzen.;Bio, bewässerte Felder, von Hand geerntet.;Einkauf direkt ab Ernte bei Kooperativen und Bauernfamilien, seit 2017. Transport: LKW von Mahdia nach Radès, Schiff nach Genua, LKW in die Schweiz/Deutschland.;Von 1 Bauernfamilie auf 5 ha in der Region Kasserine in Tunesien angebaut.;Sonnengetrocknet, von Hand sortiert, vollständig vor Ort verarbeitet.;Von 1 Bauernfamilie auf 5 ha in der Region Kasserine in Tunesien angebaut Bio, bewässerte Felder, von Hand geerntet und sortiert, sonnengetrocknet, vollständig vor Ort verarbeitet, Transport: LKW von Mahdia nach Radès, Schiff nach Genua, LKW in die Schweiz Einkauf direkt ab Ernte bei Kooperativen und Bauernfamilien, seit 2017 Verbesserungspotential: Mehr Bauernfamilien in der Region vom Bioanbau überzeugen und zertifizieren lassen;;Bewahren Sie Nüsse und Kerne kühl und dunkel in einem fest verschlossenen Gefäss auf. Achten Sie darauf, dass dieses möglichst luftdicht ist, damit keine Feuchtigkeit an die Nüsse gelangt. Um die Haltbarkeit um einige Monate zu verlängern, können Sie Nüsse und Kerne auch einfrieren.;Tunesien;Nüsse & Kerne, Pistazien, Salzige Snacks, Schokolade & Snacks
Artikel;Direktversand > Archiv > Archiv-Trockenprodukte > ZZ-Archiv-Trockenprodukte;1000045;Pizzoccheri;Im Puschlav kennt man sie seit Urzeiten, die Pizzoccheri. Teigwaren aus ungeschältem Buchweizen und Weizenmehl, die man traditionell mit Kartoffeln, Wirsing oder Mangold, Salbeibutter und Käse zubereitet. Der Weizen und der Buchweizen kommen beide aus den Bündner Bergen. Die Pizzoccheri entstehen genau wie unsere Dinkelpasta in der alten Sennerei in Ulrichen, dem ältesten Dorf im Obergoms auf 1346 Metern über dem Meer.;;;;;;Kochzeit: 5 -7 Minuten;;Schweiz;Pasta, Vorrat
Artikel;Direktversand > Trockenprodukte > Getränke > Wein > Rotwein;1019188;Plant Robez von Blaise Duboux;Paket mit 6 Flaschen Plant Robez 2019 vom Weingut Blaise Duboux. Es ist ein fruchtiger, rassiger Rotwein aus der Sorte Gamay, die im Waadtland auch als Plant Robez bekannt ist. Der Wein wird von Blaise Duboux aus biologisch angebauten Trauben vinifiziert. Noten von Sauerkirsche, roten Beeren und Pflaume in der Nase. Dazu feine würzige Anklänge. Am Gaumen saftige Säure, viel rote und dunkle Beerenfrucht, elegant mit schöner Struktur. Im Abgang mineralische Anklänge. Sie erhalten 6 Flaschen à 75 cl.;;;;;;;;Schweiz;Getränke, Wein & Cider
Artikel;Direktversand > Trockenprodukte > Konserven/Eingemachtes > Tomaten eingemacht;1021794;Geschälte, gehackte Tomaten;Geschälte und fein gehackte Tomaten, auch Polpa di Pomodoro genannt, abgefüllt im Glas à 340 Gramm. Wir beziehen die Polpa die Pomodoro über das Zürcher Unternehmen Terra Verde, das direkt mit den Produzent:innen in Italien zusammenarbeitet.;;;;;;;;Italien;Eingemachtes & Konserven, Vorrat
Artikel;Direktversand > Non-Food > Non-Food - Weiteres;1019151;Pro/Creation / Mirjam Blanka Inauen;;;;;;;;;;
Artikel;Direktversand > Archiv > Archiv-Trockenprodukte > ZZ-Archiv-Getränke;1019971;Prosecco DOC Spumante NV Domini Del Leone Bio;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Grundnahrungsmittel > Grundnahrungsmittel - weitere;1016456;Rote Quinoa;Diese rote Quinoa stammt aus den bolivianischen Anden. Auf 4000 Metern über dem Meer gibt es dort eine fruchtbare Hochebene, auf der Bauernfamilien die Quinoa biologisch anbauen. Der Geschmack der roten Bio-Quinoa erinnert an Nüsse, beim Kochen bleiben die Körner bissfest. Quinoa ist glutenfrei.;;;;;;Grundrezept: Pro Person ca. 100 g Quinoa mit zweifacher Menge Wasser oder Bouillon ca. 15 Minuten kochen. Auf unserem Blog finden Sie weitere Rezepte. Zum Beispiel für diesen Quinoa-Reis-Salat mit Edamame.;;Bolivien;Reis & Getreide, Vorrat
Artikel;Direktversand > Trockenprodukte > Grundnahrungsmittel > Grundnahrungsmittel - weitere;1016134;Rote Quinoa;Hoch oben in den bolivianischen Anden, auf 4000 Metern über dem Meer gibt es eine fruchtbare Hochebene. Dort kultivieren Bauernfamilien Quinoa. Der Geschmack der roten Körner erinnert an Nüsse, beim Kochen bleiben sie bissfest. Quinoa ist glutenfrei. Mindestens haltbar bis 30.06.2024;;;;;;Grundrezept: Pro Person ca. 100 g Quinoa mit zweifacher Menge Wasser oder Bouillon ca. 15 Minuten kochen.;;Bolivien;Reis & Getreide, Vorrat
Artikel;Direktversand > Trockenprodukte > Grundnahrungsmittel > Grundnahrungsmittel - weitere;1016445;Weisse Quinoa;Diese weisse Quinoa stammt aus den bolivianischen Anden. Auf 4000 Metern über dem Meer gibt es dort eine fruchtbare Hochebene, auf der Bauernfamilien die Quinoa biologisch anbauen. Die weisse Bio-Quinoa wird beim Kochen weich und sämig, ähnlich wie Risottoreis. Quinoa ist glutenfrei.;;;;;;Grundrezept: Pro Person ca. 100 g Quinoa mit zweifacher Menge Wasser oder Bouillon ca. 15 Minuten kochen.;;Bolivien;Reis & Getreide, Vorrat
Artikel;Direktversand > Trockenprodukte > Grundnahrungsmittel > Grundnahrungsmittel - weitere;1021671;Weisses Quinoa;Hoch oben in den bolivianischen Anden, auf 4000 Metern über dem Meer gibt es eine fruchtbare Hochebene. Dort kultivieren Bauernfamilien Quinoa. Die weissen Körner werden beim Kochen weich und sämig, ähnlich wie Risottoreis. Quinoa ist glutenfrei. Mindestens haltbar bis 30.06.2024;;;;;;Grundrezept: Pro Person ca. 100 g Quinoa mit zweifacher Menge Wasser oder Bouillon ca. 15 Minuten kochen.;;Bolivien;Reis & Getreide, Vorrat
Artikel;Direktversand > Trockenprodukte > Grundnahrungsmittel > Grundnahrungsmittel - weitere;1022297;Weisse Quinoa;Diese weisse Quinoa stammt aus den bolivianischen Anden. Auf 4000 Metern über dem Meer gibt es dort eine fruchtbare Hochebene, auf der Bauernfamilien die Quinoa biologisch anbauen. Die weisse Bio-Quinoa wird beim Kochen weich und sämig, ähnlich wie Risottoreis. Quinoa ist glutenfrei.;;;;;;Grundrezept: Pro Person ca. 100 g Quinoa mit zweifacher Menge Wasser oder Bouillon ca. 15 Minuten kochen.;;Bolivien;Reis & Getreide, Vorrat
Artikel;Direktversand > Frischprodukte > Früchte > Früchte - weitere;1019814;Quitten;Paket mit Apfel- und Birnenquitten von Hanspeter Hediger aus Affoltern am Albis. Die Früchte wachsen an Hochstammbäumen und zählen zu den ProSpecieRara-Sorten. Die Apfelquitten sind rund, haben einen intensiven Geschmack und eher hartes, trockenes Fruchtfleisch. Die länglichen Birnenquitten sind weicher und lassen sich einfacher verarbeiten, haben aber ein weniger intensives Aroma.;;;;;;;Im kalten Keller mit ausreichend Belüftung können Sie die Quitten etwa 2 bis 3 Wochen aufbewahren. Alternativ lassen sich die Früchte auch im Gemüsefach des Kühlschranks lagern. Erst kurz vor Gebrauch waschen, da der natürliche Pelz auf der Haut die Frucht schützt.;Schweiz;Früchte & Gemüse, Weitere Früchte
Artikel;Direktversand > Trockenprodukte > Getränke > Saft > gemischte Säfte;1016768;Quittenmost;;;;;;;;;;
Artikel;Direktversand > Frischprodukte > Milchprodukte > Alp-/Bergkäse;1020575;Raclettekäse;Der Raclettekäse aus Alprohmilch stammt von der Glarner Alp Obersee-Rauti. Die Alp wird von Familie Pianta bewirtschaftet. Im Sommer bringen sie die Käselaibe fortlaufend ins Tal, wo sie die Glarona Käsegenossenschaft in ihrem Betrieb in Glarus lagert und pflegt. Der Käse riecht angenehm würzig und ist buttrig-mild im Geschmack. Er schmilzt schnell und gleichmässig.;;;;;;;Im Kühlschrank gelagert hält sich der Käse mehrere Wochen lang. Wickeln Sie angeschnittene Stücke in ein Bienenwachstuch oder Frischhaltefolie ein, damit der Käse nicht austrocknet. Alternativ können Sie den Käselaib in kleinere Stücke schneiden, diese vakuumieren und dann im Kühlschrank oder kühlen Keller lagern. So hält sich der Käse über mindestens 10 Wochen. In Scheiben geschnitten lässt er sich auch einfrieren, beim Auftauen wird er dabei etwas bröckelig.;Schweiz;Fleisch & Käse, Käse
Artikel;Direktversand > Archiv > Archiv-Frischprodukte > ZZ-Archiv-Frischprodukte;1020772;Radicchio;;;;;;;;;;Früchte & Gemüse, Gemüse
Artikel;Direktversand > Archiv > Archiv-Frischprodukte > ZZ-Archiv-Frischprodukte;1020760;Radicchio;Vier verschiedene Radicchio-Sorten von der Kooperative El Tamiso aus Venetien. Jede Kiste enthält Köpfe der runden Sorte di Chioggia, den verästelten Tardivo di Treviso, die Sorte Rosa in der gleichnamigen Farbe sowie die blassgrüne gesprenkelte Variegato di Castelfranco. Der bittere Wintersalat lässt sich sowohl roh essen als auch gebraten geniessen.;;;;;;;Bewahren Sie den Radicchio nach Erhalt im Kühlschrank auf. Hüllen Sie die Köpfe in ein feuchtes Küchentuch oder einen Plastiksack mit Löchern, damit sie feucht bleiben. So gelagert bleibt der Salat mindestens eine Woche lang frisch.;;Früchte & Gemüse, Gemüse
