TYPE;NAVIGATIONPATH;EXTERNALKEY;Artikelname (KOM --> Übersetzung);Produkttext Shop (KOM --> Übersetzung);Anbau - übersetzen (KOM);Einkauf & Logistik - übersetzen (KOM);Produzierende - übersetzen (KOM);Verarbeitung - übersetzen (KOM);Nachhaltigkeit & Transparenz (KOM);Verwendung & Zubereitung (KOM --> Übersetzung);Aufbewahrung & Haltbarkeit (KOM --> Übersetzung);Herkunft (KOM);Category ID Shopware (Kategorien)
Artikel;Direktversand > Archiv > Archiv-Frischprodukte > ZZ-Archiv-Milchprodukte;1019027;Berner Alpkäse AOP;Rezenter Alpkäse, der während 18 Monaten gereift ist. Der Käse entsteht auf der Alp Leissigbärgli im Kanton Bern, die Brigitte Grau und Martin Schmutz führen. Sie stellen dort pro Tag sechs Laibe traditionell von Hand her. Die Laibe variieren deshalb in ihrem Gewicht, eine exakte Gewichtsangabe ist unmöglich. Ein halber Laib kommt aber auf mindestens 6 Kilo, aufgeteilt in 4 vakuumierte Stücke à 1,5 Kilo.;;;;;;;Im Kühlschrank gelagert hält sich der angeschnittene Käse etwa zwei Wochen lang. Wickeln Sie angeschnittene Stücke in ein Bienenwachstuch oder Frischhaltefolie ein, damit der Käse nicht austrocknet. Alternativ können Sie den Käselaib in kleinere Stücke schneiden, diese vakuumieren und dann im Kühlschrank oder kühlen Keller lagern. So hält sich der Käse über mindestens 10 Wochen. Er lässt sich auch problemlos einfrieren, beim Auftauen wird er dabei etwas bröckelig. An der Oberfläche kann sich Schimmel bilden. Dieser geht allerdings nicht durch die Rinde hindurch. Einfach grosszügig wegschneiden.;Schweiz;Fleisch & Käse, Käse
Artikel;Direktversand > Trockenprodukte > Brotaufstriche/Nussmuse > Honig;1003294;Bienenhonig;Dieser Honig entsteht aus der Blütentracht des Regenwaldes von Yucatán. Indem die indigene Bevölkerung die natürlichen Ressourcen schonend nutzt, entsteht Einkommen.;;;;;;;;Mexiko;Brotaufstrich & Nussmus, Vorrat
Artikel;Direktversand > Trockenprodukte > Brotaufstriche/Nussmuse > Honig;1015539;Bienenhonig;Dieser Honig entsteht aus der Blütentracht des Regenwaldes von Yucatán. Indem die indigene Bevölkerung die natürlichen Ressourcen schonend nutzt, entsteht Einkommen. Mindestens haltbar bis 30.04.2026;;;;;;;;Mexiko;Brotaufstrich & Nussmus, Vorrat
Artikel;Direktversand > Trockenprodukte > Getränke > alkoholische Getränke - weitere;1020476;Bier;Bier von der Mikrobrauerei Ombrey aus Wädenswil. Je 6 Flaschen Zumo und Calina. Zumo ist ein weiches Pale Ale mit Zitrusnoten. Frisch, prickelnd und leicht im Antrunk. Ombrey braut es mit unseren Orangen aus Griechenland. Das New England IPA Calina ist blumig-fruchtig in der Nase und leicht malzig im Antrunk.;;;;;;;;Schweiz;
Artikel;Direktversand > Trockenprodukte > Brotaufstriche/Nussmuse > Honig;1021999;;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Brotaufstriche/Nussmuse > Honig;1021853;;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Brotaufstriche/Nussmuse > Honig;1022285;;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Brotaufstriche/Nussmuse > Honig;1021855;;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Brotaufstriche/Nussmuse > Honig;1021986;;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Brotaufstriche/Nussmuse > Honig;1021990;;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Brotaufstriche/Nussmuse > Honig;1021857;;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Brotaufstriche/Nussmuse > Honig;1021854;;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Getränke > Saft > gemischte Säfte;1022363;;;;;;;;;;;
Artikel;Direktversand > Archiv > Archiv-Trockenprodukte > ZZ-Archiv-Trockenprodukte;1018591;Olivenöl;;;;;;;;;;
Artikel;Direktversand > Trockenprodukte > Öl/Essig > Olivenöl - Soladiro;1019641;Olivenöl Ernte 2022/23;Olivenöl der Güteklasse Extra Vergine vom südlichen Peloponnes. Das Öl hat einen milden, fruchtigen Geschmack und duftet nach frischen Kräutern und Gras. Die Ölmühle Skarpalezou stellt es in Zusammenarbeit mit Rolf und Sonja ausschliesslich aus Koroneiki-Oliven her, die in der Gegend um das Dorf Stavropigio wachsen.;;;;;;;Die Bag-in-Box-Verpackung schützt das Olivenöl vor Sauerstoff und damit Oxidation. So ist das Öl bis zu 18 Monate lang haltbar. Verwenden Sie das Öl jeweils direkt aus dem Zapfhahn der Box. Umfüllen verringert die Haltbarkeit.;Griechenland;Vorrat, Öl & Essig
Artikel;Direktversand > Trockenprodukte > Öl/Essig > Olivenöl - Soladiro;1021666;Olivenöl;Olivenöl der Güteklasse Extra Vergine vom südlichen Peloponnes. Das Öl hat einen milden, fruchtigen Geschmack und duftet nach frischen Kräutern und Gras. Die Ölmühle Skarpalezou stellt es in Zusammenarbeit mit Rolf und Sonja ausschliesslich aus Koroneiki-Oliven her, die in der Gegend um das Dorf Stavropigio wachsen. Mindestens haltbar bis 25.11.2025;;;;;;;;Griechenland;Vorrat, Öl & Essig
Artikel;Direktversand > Trockenprodukte > Öl/Essig > Olivenöl - Soladiro;1022010;Olivenöl Extra Vergine;Olivenöl der Güteklasse Extra Vergine vom südlichen Peloponnes. Das Öl hat einen milden, fruchtigen Geschmack und duftet nach frischen Kräutern und Gras. Die Ölmühle Skarpalezou stellt es in Zusammenarbeit mit Rolf und Sonja ausschliesslich aus Koroneiki-Oliven her, die in der Gegend um das Dorf Stavropigio wachsen. Das Öl stammt aus der Ernte 2024/2025.;;;;;;;Die Bag-in-Box-Verpackung schützt das Olivenöl vor Sauerstoff und damit Oxidation. So ist das Öl ab Abfülldatum bis zu 18 Monate lang haltbar. Verwenden Sie das Öl jeweils direkt aus dem Zapfhahn der Box. Umfüllen verringert die Haltbarkeit.;Griechenland;Vorrat, Öl & Essig
Artikel;Direktversand > Trockenprodukte > Öl/Essig > Olivenöl - Soladiro;1021724;Olivenöl Extra Vergine;Olivenöl der Güteklasse Extra Vergine vom südlichen Peloponnes. Das Öl hat einen milden, fruchtigen Geschmack und duftet nach frischen Kräutern und Gras. Die Ölmühle Skarpalezou stellt es in Zusammenarbeit mit Rolf und Sonja ausschliesslich aus Koroneiki-Oliven her, die in der Gegend um das Dorf Stavropigio wachsen. Das Öl stammt aus der Ernte 2025/2026.;;;;;;;Die Bag-in-Box-Verpackung schützt das Olivenöl vor Sauerstoff und damit Oxidation. So ist das Öl ab Abfülldatum bis zu 18 Monate lang haltbar. Verwenden Sie das Öl jeweils direkt aus dem Zapfhahn der Box. Umfüllen verringert die Haltbarkeit.;Griechenland;Vorrat, Öl & Essig
Artikel;Direktversand > Frischprodukte > Früchte > Äpfel (frisch);1020625;Birnen;Paket mit den lagerbaren Birnensorten Gute Louise, Conference und Bosc Flaschenbirne vom Hof der Familie Bianco in Conthey, Kanton Wallis. Der Betrieb produziert naturnah und verzichtet auf den Einsatz von Herbiziden oder Mineraldünger. Mit Nistplätzen zwischen den Feldern schafft er Lebensräume für Wildtiere.;;;;;;;Im kalten, möglichst feuchten Keller mit ausreichend Belüftung können Sie die Birnen circa einen Monat lang aufbewahren. Alternativ lassen sich die Früchte auch im Gemüsefach des Kühlschranks lagern.;Schweiz;Früchte & Gemüse, Weitere Früchte
Artikel;Direktversand > Frischprodukte > Früchte > Früchte - weitere;1019794;Birnen;Birnen der Sorte Kaiser Alexander von Familie Zurbuchen aus Mauren. Die Sorte schmeckt süss und aromatisch. Je nach Erntezeitpunkt sind auch einige andere Birnensorten im Paket enthalten.;;;;;;;Im kalten, möglichst feuchten Keller mit ausreichend Belüftung können Sie die Birnen circa einen Monat lang aufbewahren. Alternativ lassen sich die Früchte auch im Gemüsefach des Kühlschranks lagern.;Schweiz;Früchte & Gemüse, Weitere Früchte
Artikel;Direktversand > Trockenprodukte > Getränke > Wein > Weine - weitere;1020485;Blanc & Noir, Weingut Henri Cruchon;Ein animierender, fruchtiger Rosé aus den Sorten Pinot Noir und Pinot Blanc aus biodynamischem Anbau vom Weingut Henri Cruchon im Waadtland. In der Nase Noten von Grapefruit, roten Beeren und Apfel sowie würzige Anklänge. Am Gaumen saftig und vollmundig mit Aroma von Kirsche und Blutorange. Langer fruchtig-würziger Abgang. Sie erhalten 6 Flaschen à 75 cl.;;;;;;;;Schweiz;Getränke, Wein & Cider
Artikel;Direktversand > Archiv > Archiv-Trockenprodukte > ZZ-Archiv-Getränke;1019088;Blauer Zweigelt 6Fl_Dezember;;;;;;;;;;
